shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-A-MT,1621,47.580940,-122.313750,1989.27
1-SHUTTLE-A-MT,1622,47.580720,-122.313550,2017.97
1-SHUTTLE-A-MT,1623,47.580710,-122.313540,2019.31
1-SHUTTLE-A-MT,1624,47.580600,-122.313430,2034.06
1-SHUTTLE-A-MT,1625,47.580470,-122.313310,2051.09
1-SHUTTLE-A-MT,1626,47.580150,-122.313010,2093.19
1-SHUTTLE-A-MT,1627,47.579870,-122.312740,2130.33
1-SHUTTLE-A-MT,1628,47.579570,-122.312460,2169.75
1-SHUTTLE-A-MT,1629,47.579560,-122.312450,2171.09
1-SHUTTLE-A-MT,1630,47.579470,-122.312370,2182.76
1-SHUTTLE-A-MT,1631,47.579400,-122.312310,2191.75
1-SHUTTLE-A-MT,1632,47.579390,-122.312300,2193.1
1-SHUTTLE-A-MT,1633,47.579310,-122.312230,2203.43
1-SHUTTLE-A-MT,1634,47.579260,-122.312200,2209.42
1-SHUTTLE-A-MT,1635,47.579230,-122.312160,2213.91
1-SHUTTLE-A-MT,1636,47.578920,-122.311880,2254.27
1-SHUTTLE-A-MT,1637,47.578870,-122.311820,2261.43
1-SHUTTLE-A-MT,1638,47.578690,-122.311650,2285.16
1-SHUTTLE-A-MT,1639,47.578620,-122.311580,2294.55
1-SHUTTLE-A-MT,1640,47.578620,-122.311420,2306.55
1-SHUTTLE-A-MT,1641,47.578640,-122.310910,2344.87
1-SHUTTLE-A-MT,1642,47.578640,-122.310840,2350.12
1-SHUTTLE-A-MT,1643,47.578660,-122.310730,2358.67
1-SHUTTLE-A-MT,1644,47.578700,-122.310610,2368.71
1-SHUTTLE-A-MT,1645,47.578720,-122.310550,2373.73
1-SHUTTLE-A-MT,1646,47.578740,-122.310470,2380.13
1-SHUTTLE-A-MT,1647,47.578740,-122.309450,2456.64
1-SHUTTLE-A-MT,1648,47.578740,-122.309320,2466.39
1-SHUTTLE-A-MT,1649,47.578740,-122.309220,2473.89
1-SHUTTLE-A-MT,1650,47.578740,-122.308890,2498.64
1-SHUTTLE-A-MT,1651,47.578740,-122.308140,2554.9
1-SHUTTLE-A-MT,1652,47.578740,-122.308010,2564.65
1-SHUTTLE-A-MT,1653,47.578740,-122.307910,2572.15
